sid,place,timestamp,param,value
s3,28085 Haltern ,28.03.23 03:15,w,325
s4,20008 Lünen ,28.03.23 03:15,w,339
s5,20012 KA Hamm ,28.03.23 03:15,w,350
s6,"10026 Mengede, A45 ",28.03.23 03:15,w,153
s7,10008 Bottrop-Süd ,28.03.23 03:15,w,139
s8,"10101 Bottrop, Essener Straße ",28.03.23 03:15,w,179
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 03:15,w,98
s11,10103 Bahnstraße ,28.03.23 03:15,w,255
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 03:15,w,103
s2,20004 Dorsten ,28.03.23 03:15,q,94.7
s5,20012 KA Hamm ,28.03.23 03:15,q,52.1
s11,10103 Bahnstraße ,28.03.23 03:15,q,14.4
s1,20001 Fusternberg ,28.03.23 03:20,w,343
s2,20004 Dorsten ,28.03.23 03:20,w,621
s3,28085 Haltern ,28.03.23 03:20,w,325
s4,20008 Lünen ,28.03.23 03:20,w,339
s5,20012 KA Hamm ,28.03.23 03:20,w,350
s6,"10026 Mengede, A45 ",28.03.23 03:20,w,153
s7,10008 Bottrop-Süd ,28.03.23 03:20,w,139
s8,"10101 Bottrop, Essener Straße ",28.03.23 03:20,w,179
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 03:20,w,98
s11,10103 Bahnstraße ,28.03.23 03:20,w,255
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 03:20,w,103
s2,20004 Dorsten ,28.03.23 03:20,q,94.3
s5,20012 KA Hamm ,28.03.23 03:20,q,51.5
s11,10103 Bahnstraße ,28.03.23 03:20,q,14.4
s1,20001 Fusternberg ,28.03.23 03:25,w,343
s2,20004 Dorsten ,28.03.23 03:25,w,621
s3,28085 Haltern ,28.03.23 03:25,w,325
s4,20008 Lünen ,28.03.23 03:25,w,339
s5,20012 KA Hamm ,28.03.23 03:25,w,350
s6,"10026 Mengede, A45 ",28.03.23 03:25,w,153
s7,10008 Bottrop-Süd ,28.03.23 03:25,w,139
s8,"10101 Bottrop, Essener Straße ",28.03.23 03:25,w,179
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 03:25,w,98
s11,10103 Bahnstraße ,28.03.23 03:25,w,255
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 03:25,w,103
s2,20004 Dorsten ,28.03.23 03:25,q,94.3
s5,20012 KA Hamm ,28.03.23 03:25,q,50.4
s11,10103 Bahnstraße ,28.03.23 03:25,q,14.3
s1,20001 Fusternberg ,28.03.23 03:30,w,343
s2,20004 Dorsten ,28.03.23 03:30,w,621
s3,28085 Haltern ,28.03.23 03:30,w,325
s4,20008 Lünen ,28.03.23 03:30,w,339
s5,20012 KA Hamm ,28.03.23 03:30,w,350
s6,"10026 Mengede, A45 ",28.03.23 03:30,w,153
s7,10008 Bottrop-Süd ,28.03.23 03:30,w,139
s8,"10101 Bottrop, Essener Straße ",28.03.23 03:30,w,179
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 03:30,w,98
s11,10103 Bahnstraße ,28.03.23 03:30,w,255
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 03:30,w,103
s2,20004 Dorsten ,28.03.23 03:30,q,94.3
s5,20012 KA Hamm ,28.03.23 03:30,q,48.4
s11,10103 Bahnstraße ,28.03.23 03:30,q,14.3
s1,20001 Fusternberg ,28.03.23 03:35,w,343
s2,20004 Dorsten ,28.03.23 03:35,w,622
s3,28085 Haltern ,28.03.23 03:35,w,325
s4,20008 Lünen ,28.03.23 03:35,w,339
s5,20012 KA Hamm ,28.03.23 03:35,w,350
s6,"10026 Mengede, A45 ",28.03.23 03:35,w,153
s7,10008 Bottrop-Süd ,28.03.23 03:35,w,139
s8,"10101 Bottrop, Essener Straße ",28.03.23 03:35,w,179
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 03:35,w,98
s11,10103 Bahnstraße ,28.03.23 03:35,w,254
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 03:35,w,102
s2,20004 Dorsten ,28.03.23 03:35,q,95.1
